Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(°C)	T log(°C)	Latitude	Longitude	
2021-04-20 04:42:19	450	5952	1	60	0	0	88	0	0	62	0	0	78	0	0	72	0	1.721		199.077	90.5553	0.0857995	0	0.430987	0.00179734	5.3519	4		0.0088623	12.1502	28.0321	0	53.1327	4.87843	
2021-04-20 03:42:10	128	5953	2	4	0	0	50	0	0	20	0	0	36	0	0	27.5	0	7.827		199.011	88.5504	0.00106098	0	0.00533128	0.445603	0.483053	2		0.0088623	12.4338	26.0829	0	53.1327	4.87844	
2021-04-20 04:18:26	323	5954	3	68	0	0	76	0	0	72	0	0	74	0	0	72.5	0	1.191		199.054	86.4448	0.0570556	0	0.286634	2.87495	5.40292	4		0.0088623	12.2034	27.3823	0	53.1327	4.87843	
2021-04-20 04:25:17	357	5955	3	60	0	0	74	0	0	64	0	0	70	0	0	67	0	2.247		199.064	93.3901	0.0115805	0	0.0581749	0.117931	1.21841	4		0	12.1857	27.3823	0	53.1327	4.87843	
2021-04-20 04:10:23	271	5956	1	8	0	0	132	0	0	50	0	0	92	0	0	70.5	0	21.353		199.044	107.722	0.00164615	0	0.0082703	0.0786022	2.10298	2		0.0088623	12.1857	28.0321	0	53.1327	4.87843	
2021-04-20 05:09:04	604	5960	2	100	0	0	156	0	0	118	0	0	144	0	0	129.5	0	8.181		199.081	105.23	0.00449797	0	0.0225937	0.0228985	1.58004	2		0	12.097	29.0716	0	53.1327	4.87842	
2021-04-20 05:12:29	622	5961	3	82	0	0	156	0	0	106	0	0	132	0	0	119	0	12.646		199.072	113.875	0.000942693	0	0.00473543	0.289291	0.686621	2		0.0088623	12.292	29.4615	0	53.1327	4.87843	
2021-04-20 05:15:52	639	5963	1	78	0	0	148	0	0	102	0	0	124	0	0	113	0	12.256		199.08	105.001	0.00150097	0	0.00753952	0.0177681	1.18861	2		0	12.097	29.7214	0	53.1327	4.87843	
2021-04-20 05:31:30	717	5965	1	108	0	0	132	0	0	116	0	0	124	0	0	120	0	4.152		199.077	81.4265	0.00995197	0	0.0499906	0.288039	2.5128	2		0.0088623	12.0616	28.8117	0	53.1327	4.87844	
2021-04-20 05:32:48	726	5968	1	58	0	0	88	0	0	68	0	0	78	0	0	73	0	5.19		199.075	91.4757	0.00147911	0	0.00742991	0.0548976	0.466835	2		0	12.0616	28.5519	0	53.1327	4.87846	
2021-04-20 04:17:24	318	5969	1	58	0	0	66	0	0	60	0	0	64	0	0	62	0	1.191		199.058	87.574	0.158713	0	0.797317	1.09014	7.51454	4		0.0088623	12.3895	27.3823	0	53.1327	4.87843	
2021-04-20 04:28:58	376	5970	1	98	0	0	112	0	0	100	0	0	110	0	0	105	0	1.408		199.068	105.932	0.192165	0	0.965327	0.749271	7.2784	4		0	12.3806	27.6422	0	53.1327	4.87843	
2021-04-20 05:13:52	630	5971	3	56	0	0	132	0	0	76	0	0	110	0	0	93.5	0	11.941		199.076	93.4281	0.00082402	0	0.00413923	0.0408221	0.440217	2		0.0088623	12.097	29.4615	0	53.1327	4.87842	
2021-04-20 03:34:34	88	5972	1	28	0	0	48	0	0	36	0	0	42	0	0	38.5	0	3.415		198.975	94.4014	0.00990771	0	0.0497938	0.0868324	2.28526	2		0.0088623	12.2211	26.4727	0	53.1327	4.87845	
2021-04-20 05:16:20	641	5973	3	90	0	0	160	0	0	104	0	0	132	0	0	121.5	0	9.678		199.075	98.1896	0.00197151	0	0.00990337	0.0238705	0.950341	2		0.0088623	12.0793	29.9813	0	53.1327	4.87843	
2021-04-20 04:24:27	353	5974	1	52	0	0	66	0	0	54	0	0	64	0	0	59	0	1.408		199.068	69.3769	0.130811	0	0.657114	1.36276	4.95452	4		0.0088623	12.1857	27.5123	0	53.1327	4.87843	
2021-04-20 04:36:46	420	5975	3	92	0	0	112	0	0	94	0	0	110	0	0	102	0	1.503		199.069	102.208	0.226426	0	1.13743	0.614176	8.04001	2		0.0088623	12.1857	27.7722	0	53.1327	4.87844	
2021-04-20 05:19:26	655	5977	1	48	0	0	136	0	0	76	0	0	106	0	0	91.5	0	15.117		199.076	91.8929	8.35783E-5	0	0.00041983	0.483611	0.0750684	2		0.0088623	12.097	29.5914	0	53.1327	4.87842	
2021-04-20 05:11:00	614	5978	1	50	0	0	124	0	0	70	0	0	104	0	0	87	0	11.52		199.086	85.8794	0.000814238	0	0.00408989	0.00505939	0.408137	2		0	12.292	29.4615	0	53.1327	4.87842	
2021-04-20 04:22:54	345	5979	3	112	0	0	120	0	0	116	0	0	118	0	0	116.5	0	1.191		199.066	90.3121	0.0709633	0	0.35648	1.93085	6.7195	4		0.0088623	12.3806	27.5123	0	53.1327	4.87843	
2021-04-20 04:43:58	458	5980	1	76	0	0	104	0	0	78	0	0	94	0	0	88	0	1.721		199.075	83.2609	0.0597144	0	0.29996	0.00664695	3.72484	4		0.0088623	11.7603	27.9021	0	53.1327	4.87845	
2021-04-20 04:52:59	509	5981	2	108	0	0	144	0	0	112	0	0	128	0	0	123	0	3.092		199.077	88.7167	0.013514	0	0.0678831	0.0101167	1.84442	4		0	12.3275	28.292	0	53.1327	4.87843	
2021-04-20 04:58:23	540	5982	3	98	0	0	144	0	0	112	0	0	128	0	0	120.5	0	7.827		199.085	102.474	0.00504102	0	0.0253209	0.0477285	2.29426	2		0	12.1148	28.5519	0	53.1327	4.87845	
2021-04-20 04:09:23	265	5983	3	24	0	0	136	0	0	58	0	0	104	0	0	80.5	0	18.247		199.042	87.7465	0.00115357	0	0.0057956	0.0118039	1.03038	2		0.0088623	12.3984	28.292	0	53.1327	4.87843	
2021-04-20 03:49:24	168	5984	1	20	0	0	76	0	0	40	0	0	58	0	0	48.5	0	9.719		199.028	97.5426	0.000780203	0	0.00392007	0.026916	0.478616	2		0	12.425	27.1224	0	53.1327	4.87844	
2021-04-20 05:07:29	595	5985	1	90	0	0	152	0	0	110	0	0	132	0	0	121	0	10.571		199.079	110.911	0.00271197	0	0.0136226	0.00732064	1.63406	2		0.0088623	12.3097	29.3315	0	53.1327	4.87844	
2021-04-20 04:29:23	378	5986	3	102	0	0	116	0	0	106	0	0	112	0	0	109	0	2.247		199.072	67.8442	0.0156203	0	0.0784656	0.0524664	1.64338	4		0.0088623	12.1768	27.6422	0	53.1327	4.87843	
2021-04-20 04:44:48	462	5987	1	84	0	0	112	0	0	86	0	0	102	0	0	96	0	1.721		199.079	106.434	0.138572	0	0.696064	0.00425144	8.64357	4		0	12.3452	28.162	0	53.1327	4.87843	
2021-04-20 05:06:11	589	5989	3	66	0	0	128	0	0	78	0	0	104	0	0	94	0	8.446		199.082	101.451	0.00291387	0	0.0146365	0.0310866	1.16877	2		0.0088623	12.3009	28.6818	0	53.1327	4.87842	
2021-04-20 03:56:40	204	5991	2	4	0	0	86	0	0	28	0	0	64	0	0	45.5	0	12.993		199.034	92.098	0.000170759	0	0.000857936	0.224425	0.101301	4		0.0088623	12.4161	28.162	0	53.1327	4.87843	
2021-04-20 04:03:18	232	5992	3	28	0	0	124	0	0	58	0	0	98	0	0	77	0	15.455		199.037	92.7108	0.00111218	0	0.00558782	0.129967	0.828877	2		0.0088623	11.9021	29.2016	0	53.1327	4.87844	
2021-04-20 05:12:29	622	5993	2	82	0	0	156	0	0	100	0	0	132	0	0	117.5	0	11.481		199.072	113.875	0.00116585	0	0.00585642	0.221817	0.619842	2		0.0088623	12.292	29.4615	0	53.1327	4.87843	
