Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(°C)	T log(°C)	Latitude	Longitude	
2021-04-23 22:12:41	1072	9142	3	81	0	0	117	0	0	109	0	0	113	0	0	105	0	2.142		199.184	357.239	0.298993	0	1.50109	0.0084887	72.851	1		0.0088623	11.973	34.1395	0	51.673	4.02809	
2021-04-23 22:17:07	1115	9145	2	91	0	0	109	0	0	95	0	0	97	0	0	98	0	2.035		199.191	361.868	0.261076	0	1.31068	0.121236	86.4699	1		0.0088623	12.292	33.8796	0	51.673	4.0281	
2021-04-23 22:14:21	1087	9146	2	97	0	0	115	0	0	101	0	0	103	0	0	104	0	2.035		199.175	405.823	0.293835	0	1.47526	0.0176487	97.3279	1		0.0088623	12.0084	33.8796	0	51.673	4.02811	
2021-04-23 22:21:49	1160	9148	3	103	0	0	112	0	0	110	0	0	111	0	0	109	0	0.536		199.171	475.118	3.30538	0	16.5957	0.201997	201.356	1		0.0088623	12.2743	34.0096	0	51.673	4.02811	
2021-04-23 22:21:43	1159	9149	2	103	0	0	112	0	0	105	0	0	106	0	0	106.5	0	1.018		199.174	478.243	0.839733	0	4.21607	0.0203072	139.074	1		0.0088623	11.9375	33.7497	0	51.673	4.02811	
2021-04-23 22:20:24	1146	9150	3	92	0	0	101	0	0	99	0	0	100	0	0	98	0	0.536		199.184	398.149	4.08282	0	20.4977	0.0581199	248.7	1		0.0088623	12.2832	33.8796	0	51.673	4.02811	
2021-04-23 22:11:50	1064	9153	1	98	0	0	134	0	0	118	0	0	122	0	0	118	0	5.979		199.154	504.423	0.0344271	0	0.172867	0.168236	37.2395	1		0.0088623	11.8932	34.0096	0	51.673	4.02811	
2021-04-23 22:20:31	1147	9154	3	101	0	0	110	0	0	104	0	0	105	0	0	105	0	1.495		199.174	446.87	0.349232	0	1.7534	0.10016	94.4311	1		0.0088623	12.2743	33.8796	0	51.673	4.0281	
2021-04-23 22:16:37	1110	9155	1	106	0	0	124	0	0	116	0	0	118	0	0	116	0	2.989		199.175	434.31	0.10475	0	0.525919	0.0173531	56.6477	1		0	11.9198	33.8796	0	51.673	4.0281	
2021-04-23 22:12:53	1074	9156	3	83	0	0	119	0	0	111	0	0	115	0	0	107	0	2.142		199.183	365.894	0.297965	0	1.49594	0.00472346	72.6013	1		0.0088623	11.973	34.0096	0	51.673	4.0281	
